run,horizon,avg_epoch_time_s,e2e_until_best_s,total_fit_time_s,inference_time_s,mse,smape,rmse,mae,mape,best_epoch,best_ckpt
1,20,207.1139347023434,832.0427103042603,1877.6258330345154,31.6846706867218,0.0036355096381157637,17.962915,0.06029518752036321,0.004422934725880623,0.224464550614357,3,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/ckpts_scratch_lambda_h20/run_1/scratch-epoch=03-val_loss=0.000314.ckpt
2,20,206.10761499404907,825.645848274231,1866.0343022346497,31.80838656425476,0.003620995907112956,25.105444,0.060174711524966666,0.004413571208715439,0.2511543035507202,3,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/ckpts_scratch_lambda_h20/run_2/scratch-epoch=03-val_loss=0.000323.ckpt
3,20,206.78777295351028,620.7091386318207,1664.8358399868011,32.002333641052246,0.0036286062095314264,19.259851,0.060237913389587346,0.0043687173165380955,0.2323565036058426,2,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/ckpts_scratch_lambda_h20/run_3/scratch-epoch=02-val_loss=0.000309.ckpt
4,20,209.17561829090118,1045.1960554122925,2104.93240070343,31.482691526412964,0.0036203074268996716,20.06922,0.06016899057570828,0.0043667638674378395,0.23382188379764557,4,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/ckpts_scratch_lambda_h20/run_4/scratch-epoch=04-val_loss=0.000313.ckpt
5,20,208.16392092704774,1042.5295858383179,2095.406686067581,31.61099076271057,0.00343715981580317,19.210514,0.05862729582543587,0.004507546313107014,0.39064574241638184,4,/home/unt.ad.unt.edu/srr0248/Desktop/pytorch_for/pytorch-forecasting/examples/ckpts_scratch_lambda_h20/run_5/scratch-epoch=04-val_loss=0.000316.ckpt
