horizon,avg_epoch_time_s_mean,avg_epoch_time_s_std,e2e_until_best_s_mean,e2e_until_best_s_std,inference_time_s_mean,inference_time_s_std,mse_mean,mse_std,smape_mean,smape_std
25,98.05501213556889,1.6414018067480558,419.0712510943413,129.67294215143897,19.058085799217224,0.30043442184660696,4.523259303823579e-05,6.721452388438587e-07,23.154235631227493,0.4305030578716079
30,98.1582496935585,1.5236695600056496,860.2937846779823,517.297103904543,18.892206370830536,0.2385803184661048,4.573123260342982e-05,8.576684189823591e-07,23.338010534644127,0.5983636602503257
35,99.0171694088948,1.4160932245973155,1134.6308969259262,327.163484149127,19.580565750598907,0.46500140266982076,4.556672502076253e-05,9.83703437173071e-07,23.234138265252113,0.47392948637632226
40,98.44577923479613,1.9614746449632963,1306.0195754766464,663.3361500534567,18.973107278347015,0.655311314694594,4.6408650632656645e-05,3.503192823265908e-07,23.4899390488863,0.2079519016754045
